"round","match_type","slide_start","slide_end","animal_id","sex","group","line","dob","perfusion","age_days","p_c_interval"
"1","slide_range","1","2","BM6","male","random","1","2022-12-02","2023-06-02","182","3"
"1","slide_range","4","5","BM7","male","random","1","2022-08-24","2023-06-02","282","3"
"1","slide_range","7","8","BM8","male","rule","1","2022-08-18","2023-06-02","288","3"
"1","slide_range","10","11","BM9","male","rule","1","2022-05-31","2023-06-02","367","3"
"2","slide_range","1","2","C1","male","control","1","2023-04-20","2023-07-03","74","3"
"2","slide_range","4","5","C2","female","control","1","2022-11-15","2023-07-03","230","3"
"2","slide_range","7","8","C3","male","control","4","2023-01-24","2023-07-03","160","3"
"2","slide_range","10","11","C4","female","control","4","2023-01-24","2023-07-03","160","3"
"3","slide_range","1","2","NC1","male","negative","1","2023-04-20","2023-07-03","74","3"
"3","slide_range","4","5","NC2","female","negative","1","2022-11-15","2023-07-03","230","3"
"3","slide_range","7","8","NC3","male","negative","4","2023-01-24","2023-07-03","160","3"
"3","slide_range","10","11","NC4","male","negative","4","2023-01-24","2023-07-03","160","3"
"3","slide_range","13","14","VH1","female","rule","4","2023-03-13","2023-07-06","115","3"
"3","slide_range","16","17","VH4","male","random","4","2023-01-01","2023-07-06","186","3"
"4","slide_range","1","2","VH2","female","random","4","2023-03-13","2023-07-06","115","3"
"4","slide_range","4","5","VH3","male","rule2","4","2023-01-01","2023-07-06","186","3"
"5","slide_range","1","2","EE1","female","EE","1","2023-03-10","2023-08-04","147","3"
"5","slide_range","4","5","EE2","female","EE","1","2023-03-10","2023-08-04","147","3"
"5","slide_range","7","8","EE3","male","EE","1","2023-03-01","2023-08-04","156","3"
"6","slide_range","1","2","EE4","female","EE","4","2023-03-13","2023-08-18","158","3"
"6","slide_range","4","5","EE5","male","EE","4","2023-01-01","2023-08-18","229","3"
"7","slide_range","1","2","BM10","female","early","1","2023-08-16","2024-02-16","184","3"
"7","slide_range","4","5","BM12","female","early","1","2023-08-31","2024-02-16","169","3"
"7","slide_range","10","11","BM14","female","early","4","2023-08-20","2024-02-16","180","3"
"8","slide_range","7","8","JF552_1","male","zero552","4","2023-10-15","2024-03-08","145","3"
"8","slide_range","10","11","JF552_2","female","zero552","1","2023-10-15","2024-03-08","145","3"
"9","slide_range","1","2","JF552_3","male","zero552","4","2023-10-15","2024-03-08","145","3"
"9","slide_range","4","5","JF673_1","female","zero673","1","2023-10-03","2024-03-08","157","3"
"9","slide_range","7","8","JF673_2","male","zero673","4","2023-10-26","2024-03-08","134","3"
"10","slide_range","4","5","DOI1","female","DOI","1","2024-02-20","2024-06-14","115","3"
"10","slide_range","7","8","DOI2","female","DOI","1","2024-02-20","2024-06-14","115","3"
"10","slide_range","10","11","DOI3","female","DOI","1","2024-02-20","2024-06-14","115","3"
"11","name",,,"MS5","female","StimLearn","4","2024-10-22","2025-02-10","111","4"
"11","name",,,"MS6","female","StimLearn","4","2024-10-22","2025-02-10","111","4"
"11","name",,,"MS7","male","StimControl","1","2024-09-24","2025-02-10","139","4"
"11","name",,,"MS8","female","StimLearn","1","2024-09-24","2025-02-18","147","4"
"11","name",,,"MS10","male","StimControl","1","2024-08-13","2025-02-18","189","4"
"11","name",,,"MS14","female","StimControl","1","2024-09-03","2025-02-19","169","4"
"12","slide_range","1","2","BM32","male","reversal","1","2024-12-07","2025-06-30","205","4"
"12","slide_range","4","5","BM33","female","reversal","1","2024-12-07","2025-08-05","241","4"
"12","slide_range","7","8","BM34","female","reversal_control","1","2024-12-07","2025-08-05","241","4"
