ANM	Sex	groupName	AP	Slice	Name	CCF_ID	tau	new_names
BM6	male	random	484.153290420004	2	Accessory olfactory bulb, glomerular layer	188	4.15365600585938	Olfactory areas
BM6	male	random	506.441157854936	1	Accessory olfactory bulb, granular layer	196	3.90873599052429	Olfactory areas
BM6	male	random	484.153290420004	2	Accessory olfactory bulb, mitral layer	204	3.79798364639282	Olfactory areas
BM6	male	random	279.151560062737	11	Accessory supraoptic group	332	4.24189043045044	Hypothalamus
BM6	male	random	452.129673587928	3	Agranular insular area, dorsal part, layer 1	996	5.81997632980347	Isocortex
BM6	male	random	452.129673587928	3	Agranular insular area, dorsal part, layer 2/3	328	5.06962633132935	Isocortex
BM6	male	random	433.272727922581	4	Agranular insular area, dorsal part, layer 5	1101	4.66637420654297	Isocortex
BM6	male	random	402.109544303215	5	Agranular insular area, dorsal part, layer 6a	783	4.40166902542114	Isocortex
BM6	male	random	402.109544303215	5	Agranular insular area, dorsal part, layer 6b	831	4.50854873657227	Isocortex
BM6	male	random	347.645310500689	8	Agranular insular area, posterior part, layer 1	120	5.24091958999634	Isocortex
BM6	male	random	347.645310500689	8	Agranular insular area, posterior part, layer 2/3	163	4.59815263748169	Isocortex
BM6	male	random	331.892652592994	9	Agranular insular area, posterior part, layer 5	344	4.75887966156006	Isocortex
BM6	male	random	331.892652592994	9	Agranular insular area, posterior part, layer 6a	314	4.39797496795654	Isocortex
BM6	male	random	304.0920996123	10	Agranular insular area, posterior part, layer 6b	355	4.43363904953003	Isocortex
BM6	male	random	433.272727922581	4	Agranular insular area, ventral part, layer 1	704	5.46315670013428	Isocortex
BM6	male	random	433.272727922581	4	Agranular insular area, ventral part, layer 2/3	694	4.90960931777954	Isocortex
BM6	male	random	433.272727922581	4	Agranular insular area, ventral part, layer 5	800	4.6260142326355	Isocortex
BM6	male	random	402.109544303215	5	Agranular insular area, ventral part, layer 6a	675	4.41811513900757	Isocortex
BM6	male	random	394.768924652426	6	Agranular insular area, ventral part, layer 6b	699	4.30363512039185	Isocortex
BM6	male	random	304.0920996123	10	Anterior amygdalar area	23	4.36171770095825	Striatum
BM6	male	random	279.151560062737	11	Anterior area, layer 1	312782550	5.81265926361084	Isocortex
BM6	male	random	279.151560062737	11	Anterior area, layer 2/3	312782554	5.2150297164917	Isocortex
BM6	male	random	279.151560062737	11	Anterior area, layer 4	312782558	5.03731918334961	Isocortex
BM6	male	random	279.151560062737	11	Anterior area, layer 5	312782562	4.92274379730225	Isocortex
BM6	male	random	256.515857089732	12	Anterior area, layer 6a	312782566	4.65128040313721	Isocortex
BM6	male	random	256.515857089732	12	Anterior area, layer 6b	312782570	4.63090944290161	Isocortex
BM6	male	random	433.272727922581	4	Anterior cingulate area, dorsal part, layer 1	935	5.86653757095337	Isocortex
BM6	male	random	433.272727922581	4	Anterior cingulate area, dorsal part, layer 2/3	211	5.13247442245483	Isocortex
BM6	male	random	433.272727922581	4	Anterior cingulate area, dorsal part, layer 5	1015	4.82682323455811	Isocortex
BM6	male	random	402.109544303215	5	Anterior cingulate area, dorsal part, layer 6a	919	4.37384366989136	Isocortex
BM6	male	random	402.109544303215	5	Anterior cingulate area, dorsal part, layer 6b	927	4.35206508636475	Isocortex
BM6	male	random	394.768924652426	6	Anterior cingulate area, ventral part, 6a	810	4.22137117385864	Isocortex
BM6	male	random	377.210633484882	7	Anterior cingulate area, ventral part, 6b	819	4.23177051544189	Isocortex
BM6	male	random	394.768924652426	6	Anterior cingulate area, ventral part, layer 1	588	5.61209058761597	Isocortex
BM6	male	random	394.768924652426	6	Anterior cingulate area, ventral part, layer 2/3	296	4.88379955291748	Isocortex
BM6	male	random	394.768924652426	6	Anterior cingulate area, ventral part, layer 5	772	4.54602766036987	Isocortex
