ANM	Sex	EE	AP	Slice	Name	CCF_ID	tau	new_names
R2_F1	F	0	98.4696518938917	16	Accessory facial motor nucleus	576	9.72584915161133	Medulla
R2_F1	F	0	462.001977275564	1	Accessory olfactory bulb, glomerular layer	188	10.9632129669189	Olfactory areas
R2_F1	F	0	462.001977275564	1	Accessory olfactory bulb, granular layer	196	8.72604942321777	Olfactory areas
R2_F1	F	0	462.001977275564	1	Accessory olfactory bulb, mitral layer	204	8.78167724609375	Olfactory areas
R2_F1	F	0	462.001977275564	1	Agranular insular area, dorsal part, layer 1	996	11.2882461547852	Isocortex
R2_F1	F	0	437.894508810291	2	Agranular insular area, dorsal part, layer 2/3	328	10.4280776977539	Isocortex
R2_F1	F	0	437.894508810291	2	Agranular insular area, dorsal part, layer 5	1101	9.23899078369141	Isocortex
R2_F1	F	0	414.397885014855	3	Agranular insular area, dorsal part, layer 6a	783	8.41665554046631	Isocortex
R2_F1	F	0	390.124234292414	4	Agranular insular area, dorsal part, layer 6b	831	8.32854080200195	Isocortex
R2_F1	F	0	350.888935932795	6	Agranular insular area, posterior part, layer 1	120	10.1303224563599	Isocortex
R2_F1	F	0	350.888935932795	6	Agranular insular area, posterior part, layer 2/3	163	9.39637565612793	Isocortex
R2_F1	F	0	350.888935932795	6	Agranular insular area, posterior part, layer 5	344	8.9791431427002	Isocortex
R2_F1	F	0	320.821075975416	7	Agranular insular area, posterior part, layer 6a	314	8.45648765563965	Isocortex
R2_F1	F	0	269.528507253138	9	Agranular insular area, posterior part, layer 6b	355	8.56643867492676	Isocortex
R2_F1	F	0	437.894508810291	2	Agranular insular area, ventral part, layer 1	704	10.5634117126465	Isocortex
R2_F1	F	0	437.894508810291	2	Agranular insular area, ventral part, layer 2/3	694	9.37805843353271	Isocortex
R2_F1	F	0	414.397885014855	3	Agranular insular area, ventral part, layer 5	800	8.77624702453613	Isocortex
R2_F1	F	0	390.124234292414	4	Agranular insular area, ventral part, layer 6a	675	7.99467849731445	Isocortex
R2_F1	F	0	390.124234292414	4	Agranular insular area, ventral part, layer 6b	699	8.57280921936035	Isocortex
R2_F1	F	0	301.270845640746	8	Anterior amygdalar area	23	8.78909111022949	Striatum
R2_F1	F	0	269.528507253138	9	Anterior area, layer 1	312782550	10.4430122375488	Isocortex
R2_F1	F	0	250.707812912812	10	Anterior area, layer 2/3	312782554	9.69330501556396	Isocortex
R2_F1	F	0	250.707812912812	10	Anterior area, layer 4	312782558	9.55924415588379	Isocortex
R2_F1	F	0	250.707812912812	10	Anterior area, layer 5	312782562	8.94180107116699	Isocortex
R2_F1	F	0	250.707812912812	10	Anterior area, layer 6a	312782566	8.52429485321045	Isocortex
R2_F1	F	0	250.707812912812	10	Anterior area, layer 6b	312782570	8.4013204574585	Isocortex
R2_F1	F	0	437.894508810291	2	Anterior cingulate area, dorsal part, layer 1	935	10.237585067749	Isocortex
R2_F1	F	0	437.894508810291	2	Anterior cingulate area, dorsal part, layer 2/3	211	9.50443744659424	Isocortex
R2_F1	F	0	437.894508810291	2	Anterior cingulate area, dorsal part, layer 5	1015	9.00963973999023	Isocortex
R2_F1	F	0	414.397885014855	3	Anterior cingulate area, dorsal part, layer 6a	919	8.2782039642334	Isocortex
R2_F1	F	0	390.124234292414	4	Anterior cingulate area, dorsal part, layer 6b	927	8.26027488708496	Isocortex
R2_F1	F	0	355.646581834904	5	Anterior cingulate area, ventral part, 6a	810	8.128737449646	Isocortex
R2_F1	F	0	355.646581834904	5	Anterior cingulate area, ventral part, 6b	819	8.42786121368408	Isocortex
R2_F1	F	0	355.646581834904	5	Anterior cingulate area, ventral part, layer 1	588	9.62737846374512	Isocortex
R2_F1	F	0	355.646581834904	5	Anterior cingulate area, ventral part, layer 2/3	296	8.99648666381836	Isocortex
R2_F1	F	0	355.646581834904	5	Anterior cingulate area, ventral part, layer 5	772	8.54059600830078	Isocortex
R2_F1	F	0	301.270845640746	8	Anterior hypothalamic nucleus	88	8.96334075927734	Hypothalamus
R2_F1	F	0	462.001977275564	1	Anterior olfactory nucleus	159	8.15715599060059	Olfactory areas
R2_F1	F	0	218.884623134309	11	Anterior pretectal nucleus	215	8.76922225952148	Midbrain
R2_F1	F	0	301.270845640746	8	Anterodorsal nucleus	64	8.49431800842285	Thalamus
R2_F1	F	0	203.056638296549	12	Anterolateral visual area, layer 1	1074	10.4745664596558	Isocortex
